workout_uuid,user_id,created_at,workout_type,duration_min,metadata,date_inferred,progress_log_id,id
62133d00-8969-4057-96f8-36f9d16e7ee5,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-09 21:19:08.17323+00,cardio,30,"{""notes"":""Directly stated duration and type."",""llm_method"":""health_interpretation_v1"",""original_text"":""30 min cardio"",""source_log_timestamp"":""2025-12-09T21:19:08.173230+00:00"",""source_progress_log_id"":20}",2025-12-09,20,1765315148173243
85d42eba-5c98-47bd-8b13-3271518347d2,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-10 20:53:42.605493+00,strength,30,"{""notes"":""Workout focused on back and bicep muscles."",""llm_method"":""health_interpretation_v1"",""original_text"":""back and bicep 30 min workout"",""source_log_timestamp"":""2025-12-10T20:53:42.605493+00:00"",""source_progress_log_id"":21}",2025-12-10,21,1765400022605505
8748a253-8bda-4ec7-9d81-d0198244b51d,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-03 20:57:28.767976+00,other,0,"{""notes"":null,""llm_method"":""health_interpretation_v1"",""original_text"":null,""source_log_timestamp"":""2025-12-03T20:57:28.767976+00:00"",""source_progress_log_id"":10}",2025-12-03,10,1767398803503039
8a3a847e-dd9f-45ca-9fe8-f69aa3d487ed,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-08 15:34:50.730048+00,other,0,"{""macros"":{""raw_string"":""P 103g / C 186g / F 108g (conf 0.75)""},""llm_method"":""health_interpretation_v1"",""estimation_notes"":""Estimates assume generous portions, especially for the restaurant curry and dinner items."",""source_log_timestamp"":""2025-12-08T15:34:50.641644+00:00"",""original_workout_text"":""took a rest day after a long night out"",""source_progress_log_id"":19}",2025-12-08,19,13
93af793c-4d20-48e7-a2ec-00e2900e48e2,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-05 14:10:59.652233+00,other,0,"{""macros"":{""raw_string"":""P 45g / C 70g / F 25g (conf 0.75)""},""llm_method"":""health_interpretation_v1"",""estimation_notes"":""Assumes a generous bowl of beef dwengjang stew with tofu and vegetables, served with 1 cup cooked white rice."",""source_log_timestamp"":""2025-12-05T14:10:39.771347+00:00"",""original_workout_text"":""none"",""source_progress_log_id"":16}",2025-12-05,16,10
950e895c-c572-4843-8a57-43f007e78573,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-02 14:45:14.763046+00,other,0,"{""macros"":{""raw_string"":""P 44g / C 125g / F 75g (conf 0.7)""},""intensity"":""good"",""activities"":null,""llm_method"":""health_interpretation_v1"",""estimation_notes"":""Assumes a typical large breakfast burrito with eggs, cheese, meat, and potatoes, and a standard slice of blueberry pie."",""primary_muscle_group"":null,""source_log_timestamp"":""2025-12-02T14:44:57.918808+00:00"",""original_workout_text"":""I hit a good chest and triceps workout for 30min and cardio on elliptical for 30min"",""source_progress_log_id"":8}",2025-12-02,8,2
957180e6-c4c7-4756-bbfc-b0f9a535242d,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-05 13:47:18.300673+00,strength,30,"{""macros"":{""raw_string"":""P 29g / C 85g / F 21g (conf 0.75)""},""llm_method"":""health_interpretation_v1"",""estimation_notes"":""Assumed typical restaurant serving of doenjang jjigae (soybean paste stew) and 1 cup of white rice."",""source_log_timestamp"":""2025-12-05T13:46:58.160538+00:00"",""original_workout_text"":""30 min chest and triceps workout"",""source_progress_log_id"":14}",2025-12-05,14,8
a9bb30da-8d82-4824-8a11-64732b0a258f,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-02 16:51:58.348724+00,other,0,"{""macros"":{""raw_string"":""P 25g / C 30g / F 20g (conf 0.6)""},""intensity"":null,""activities"":null,""llm_method"":""health_interpretation_v1"",""estimation_notes"":""Assumes a standard plain beef burger (e.g., quarter-pound patty) with bun and basic condiments."",""primary_muscle_group"":null,""source_log_timestamp"":""2025-12-02T16:51:41.820631+00:00"",""original_workout_text"":""I hit a back day for 30 min"",""source_progress_log_id"":9}",2025-12-02,9,3
afedd41b-a7f3-452c-b5bd-649e3e77695a,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-03 20:57:46.565797+00,other,0,"{""macros"":{""raw_string"":""P 30g / C 52g / F 36g (conf 0.9)""},""intensity"":null,""activities"":null,""llm_method"":""health_interpretation_v1"",""estimation_notes"":""Assumes a standard fast-food style fried chicken sandwich with bun and minimal condiments."",""primary_muscle_group"":null,""source_log_timestamp"":""2025-12-03T20:57:28.767976+00:00"",""original_workout_text"":""I worked out my back for 30 min"",""source_progress_log_id"":10}",2025-12-03,10,4
b4a6ba5c-befd-4a81-8ddb-13c483192eed,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-04 22:04:46.079754+00,other,0,"{""notes"":null,""llm_method"":""health_interpretation_v1"",""original_text"":null,""source_log_timestamp"":""2025-12-04T22:04:46.079754+00:00"",""source_progress_log_id"":11}",2025-12-04,11,1766173827555962
c1f2fdf4-99f4-4ee8-8d3b-c763f0a7d9f9,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-06 17:59:17.879652+00,cardio,30,"{""macros"":{""raw_string"":""P 30g / C 70g / F 20g (conf 0.75)""},""llm_method"":""health_interpretation_v1"",""estimation_notes"":""Assumed 2 medium-sized rouganbao with typical pork floss filling."",""source_log_timestamp"":""2025-12-06T17:59:17.794868+00:00"",""original_workout_text"":""I walked for 30min"",""source_progress_log_id"":18}",2025-12-06,18,12
ca9027dd-9883-484e-8a8a-571e5a2d0c7f,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-10 22:27:13.165066+00,cardio,30,"{""notes"":""Directly specified duration and type."",""llm_method"":""health_interpretation_v1"",""original_text"":""30min cardio"",""source_log_timestamp"":""2025-12-10T22:27:13.165066+00:00"",""source_progress_log_id"":21}",2025-12-10,21,1765405633165077
ec5adb12-3af5-4e1a-9bce-ec6ff95e6933,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-16 19:52:15.528753+00,cardio,30,"{""notes"":"""",""llm_method"":""health_interpretation_v1"",""original_text"":""30 min cardio"",""source_log_timestamp"":""2025-12-16T19:52:15.528753+00:00"",""source_progress_log_id"":24}",2025-12-16,24,1765914735528768
ee5a589f-d1e4-45a9-90b4-8ac3447e535d,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-06 17:21:46.728209+00,mixed,60,"{""macros"":{""raw_string"":""P 193g / C 295g / F 190g (conf 0.6)""},""llm_method"":""health_interpretation_v1"",""estimation_notes"":""Estimates based on common restaurant and bakery serving sizes; portion sizes for 'small' items were interpreted generously."",""source_log_timestamp"":""2025-12-06T17:21:46.519034+00:00"",""original_workout_text"":""I did a 30 min back and bicep workout and 30 min elliptical cardio"",""source_progress_log_id"":17}",2025-12-06,17,11
f058d696-c123-4250-a14c-7b2ea51eb575,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-04 23:09:12.051305+00,other,0,"{""macros"":{""raw_string"":""P 35g / C 40g / F 42g (conf 0.85)""},""llm_method"":""health_interpretation_v1"",""estimation_notes"":""Assumes a single-patty cheeseburger with bun and standard condiments."",""source_log_timestamp"":""2025-12-04T23:09:11.942588+00:00"",""original_workout_text"":""I did 30 min of cardio"",""source_progress_log_id"":13}",2025-12-04,13,7
ff0bcd7c-fd10-4fdb-9454-3ca52a2000e0,c3650a98-16ba-4c06-9811-a6b994d5726e,2025-12-15 18:30:50.593209+00,cardio,30,"{""notes"":""Directly stated duration and type."",""llm_method"":""health_interpretation_v1"",""original_text"":""30 min cardio"",""source_log_timestamp"":""2025-12-15T18:30:50.593209+00:00"",""source_progress_log_id"":23}",2025-12-15,23,1765823450593224
